,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
4799,The variable they controlled was bringing their own balls.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4800,Where the place they had to throw the ball from.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4801,The controlled the line where they were going to throw the ball.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4802,Throwing the ball.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4803,The balls.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4804,She controlled her energy to throw more.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4805,"How they stood in the line, and how far they are.",The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4806,The line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4807,They threw the balls.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4808,They all threw the ball at the line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4809,The way they stand at the line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4810,How far the ball goes behind the line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4811,How high it will go.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4812,Staying at the line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4813,Kinds of balls.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,incorrect
4814,The line.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4815,The lines.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4816,Where they threw the ball.,The launch position (line on the playground) is the variable that is controlled.,Where they threw it from.,Where she threw the ball.,correct
4817,No one had the same ball and threw the ball differently.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4818,"One variable that should be controlled is the ball, everyone should use the same ball. Another is if you should get a running start.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4819,The type of ball they use how they got to the point of where they were supposed to throw the ball.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4820,"Size of ball because they all should have used the same ball, where to start they should have all stood in the same spot.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4821,If they get a running start and if they had the same ball or not.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4822,They do not use the same kind of ball and they get different speeds.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4823,The same kind of balls. Having a running start.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4824,One is they all have different balls. 2 is they have some bigger which makes them go not as far as distance as the smaller ones which go farther.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4825,"They did not control the size, and they did not control the type of ball they used.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4826,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4827,They do not have the same amount of weight. And not have the same ball. And they run and step. They need to run or step.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4828,The balls all need to be the same. And they all need to stand and throw.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4829,Throwing at the line and using the same ball.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4830,How far they throw the balls and the kind of balls that bring are 2 uncontrolled variables.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4831,The variable that was not controlled was that they just brought any ball and made a line and threw it.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4832,How they start and what ball they use.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4833,2 variables that are not controlled in the contest were the amount of steps and what ball they are going to use.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4834,They all brought different balls. They all started at different starting points.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4835,One of the variables is the type of ball. And the second one is how many steps they took during the time when they were throwing balls.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4836,"What kind of ball you use, and how you throw it.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4837,One variable they did not control was that Rachael ran. The other one is that the other 2 girls walked.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4838,That they get different lines.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4839,That their balls are different.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4840,Ball flying in air.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4841,When they did not throw the ball the same. When they did not do the same starting position.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4842,How they all threw balls. They all should do the same position.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4843,The balls and how they held the ball.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4844,How they ran to the line and threw their balls.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4845,Rachael had a running start and Ling took 2 steps Diana stood at the line.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4846,"Ran, stood, and walked 2 steps. Also the balls they used.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4847,"Having different balls, and the way they stood at the line.",Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4848,You have to test it out and you start with the ball to see who throws the farthest. The other thing is to not go past the line and not mess up.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4849,They have different kind of ball. Some of them run some took 2 steps.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4850,Basketball and football.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4851,The balls are different.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,incorrect
4852,One of them is they did not have the same kind of ball. 2 is they took different amounts of steps to the line.,Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.,The variable that was not controlled was that they just brought any ball and made a line and threw it.,The first variable they did not control is the different kind of ball. The second is the speed they went to get to the line.,correct
4853,They need to have the same ball and throw the ball at the same place.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4854,They need to use the same ball and they need to throw the same way.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4855,"They need to use the same ball and throw it from the same spot without running to the line, taking steps to the line, or one person just standing at the line.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4856,Nobody get a running start and they all use the same ball to make it fair.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4857,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4858,They need the same kind of ball and with the same weight and to stand still when throwing the ball.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4859,They need to have thrown it at the same place which they did they need one variable changed that could be different balls or the same ball but different size.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4860,"To make the balls the same thing so it is a fair game to play. Like a baseball, basketball or a football to throw.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4861,Ling and Diana should change their experiments to a baseball because the baseball won.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4862,To have the same ball and throw the same place. And the weight of the ball. And how hard you throw it.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4863,The balls all need to be the same and they all have to stand and throw.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4864,Make a line that is very straight. All use same ball. All stand at line. Throw at same time. Record data.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4865,They need to use the same kind of balls and they need the same procedure of throwing.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4866,"Where they throw the ball, use the same ball, they all get a running start.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4867,To make the contest a controlled experiment the girls need to take the same amount of steps.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4868,"The girls needed to change each variable at a time, like starting at the same position, all 3 of them, and the mass of the balls.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4869,The girls have to have the same type of ball and also take the same amount of steps when they are throwing it.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4870,They can just throw from the line and not run.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4871,Use all of the same balls.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4872,They have to have the same balls. They have to throw the ball in the same way.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4873,First they all do the standard way then they throw the same ball and write then they do that again 2 times with the other balls then finally they write it and compare.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4874,They needed to use their position.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4875,They all have a ball and they all stand at the same place.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4876,They should all stand at the line and throw.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4877,Same ball and stand on the line.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4878,The balls and the line that tells them to go.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4879,They had to throw their ball first at the same time.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4880,They should all start in the line.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4881,What the 3 girls need to do is stand straight and same sized ball.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4882,Throw the ball at the same time.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4883,"Stay at the line, use one ball, everyone get a 2 step, throw.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4884,Same sized balls. Take 2 steps then throw.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4885,They all needed to have the same ball.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4886,They should all use the same ball they should all take 2 steps.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",correct
4887,"Do not take any steps, have the same kind of ball.",All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4888,Starting in the same place. Using the same kind of ball.,All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.,They need to have the same ball and throw the ball at the same place.,"They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.",incorrect
4889,You have a standard because if you do not it will not be controlled.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4890,So that you can see the results of an experiment before a variable is changed so you can compare.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4891,You use a standard so you will not make a mistake and so you can compare it to differences.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4892,You start with a standard so you can compare your standard data to your data when you change a variable.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4893,So you can get the closest answer to the question.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4894,So you can record and change variables to get a difference.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4895,So that control your experiment without changing more than one variable.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4896,To keep the variables controlled.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4897,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4898,You would use a standard to change any variables than just one variable that can be changed.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4899,"You use a standard to control your procedure, like if you get it wrong you can see what you did.",A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4900,To compare the new experiment with the standard.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4901,"You use a standard because when you change something which is a variable. That when you change it, you know when you did before.",A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4902,"You use a standard because without a standard, you can change it.",A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4903,"So you can see what you did after you do the other trials, it makes a controlled experiment to look back on when you change one variable at a time.",A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4904,You use a standard to see if you can try a less amount each time you do an experiment.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4905,You use a standard so that you can test it and compare with your standard. And compare with your variable.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4906,When conducting a controlled experiment you use a standard because you compare your other results to see if it is accurate.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,correct
4907,You use a standard so you can change the variable if needed in an experiment and you can also change the variable at a time.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4908,You use a standard because that what you know before the experiment and the standard helps you a lot during the experiment.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4909,In a controlled experiment you use a standard because when you are testing something else you will have to compare your answers. That is where a standard comes in.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4910,To compare your answers.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4911,We use a standard first because we could know how it went then we could use the score it went and test it again.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4912,You use a standard is to know what you will do and how it will happen.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
4913,So when you change variables you can compare you standard and the other ones.,A standard is used for comparison to determine how changing one variable changes the results.,So that you can see the results of an experiment before a variable is changed so you can compare.,You use a standard so you can tell what happened in a controlled experiment and because you can change one variable at a time.,incorrect
